title,price,sold,rating,shop
Bluetooth Speaker,61.62,476,4.8,Shop_3
USB Microphone,490.79,1903,4.6,Shop_19
Gaming Headset,297.72,4716,4.0,Shop_7
USB Microphone,432.18,2271,4.8,Shop_19
Wireless Earbuds,161.82,1491,4.3,Shop_12
Wireless Earbuds,344.67,1259,4.3,Shop_15
Webcam HD,348.24,4354,4.9,Shop_5
USB Microphone,287.67,3895,4.3,Shop_5
Webcam HD,209.95,4406,4.1,Shop_11
Monitor 24 Inch,251.11,3796,4.6,Shop_16
Gaming Headset,60.77,2724,4.8,Shop_11
USB Microphone,326.03,3949,5.0,Shop_16
Gaming Mouse,59.79,1189,4.6,Shop_16
Webcam HD,292.74,3336,4.5,Shop_13
Mechanical Keyboard,294.75,1847,4.6,Shop_6
Laptop Stand,171.5,2006,4.8,Shop_12
Mechanical Keyboard,322.49,4451,4.6,Shop_16
Laptop Stand,250.65,3147,5.0,Shop_18
Gaming Headset,239.52,698,4.4,Shop_11
Bluetooth Speaker,352.58,990,4.7,Shop_3
Phone Holder,283.57,2410,4.1,Shop_7
Mechanical Keyboard,432.14,2027,4.5,Shop_15
Wireless Earbuds,59.82,1614,4.5,Shop_4
Gaming Headset,354.98,925,4.9,Shop_17
Monitor 24 Inch,262.79,958,4.2,Shop_9
Webcam HD,201.83,2087,4.3,Shop_6
Laptop Stand,329.65,480,4.1,Shop_14
Gaming Mouse,246.92,2489,4.4,Shop_5
Phone Holder,180.08,305,4.5,Shop_2
Bluetooth Speaker,89.54,2590,4.2,Shop_1
Wireless Earbuds,362.5,1596,4.1,Shop_1
Phone Holder,226.32,4947,4.8,Shop_3
Webcam HD,134.01,232,4.3,Shop_15
USB Microphone,256.04,3335,4.7,Shop_6
Phone Holder,419.54,4839,4.5,Shop_20
Laptop Stand,244.44,4632,4.0,Shop_9
Phone Holder,49.66,1191,4.7,Shop_15
Mechanical Keyboard,380.79,1424,4.2,Shop_2
Phone Holder,31.74,4859,4.3,Shop_19
Laptop Stand,307.35,916,4.4,Shop_11
Gaming Mouse,339.96,3575,4.5,Shop_15
USB Microphone,165.84,2054,4.3,Shop_3
Mechanical Keyboard,52.82,807,4.9,Shop_1
Wireless Earbuds,468.23,2773,4.3,Shop_9
Webcam HD,356.69,726,4.1,Shop_7
Gaming Headset,56.18,226,4.0,Shop_5
Laptop Stand,176.98,1564,4.9,Shop_17
Phone Holder,472.13,2825,4.7,Shop_4
Mechanical Keyboard,37.7,1724,4.3,Shop_14
USB Microphone,236.91,1860,4.4,Shop_18
